_id,status
in.codeseed.audify,OK
com.urbandroid.lux,OK
maxcom.toolbox.altimeter,OK
com.mauriciotogneri.shoppinglist,OK
com.szyk.myheart,OK
je.fit,OK
com.appfour.wearvideos,FAIL(38)
com.naing.englishmyanmardictionary,OK
de.svz,OK
com.komparato.informer.wear,OK
com.glidetalk.glideapp,OK
uk.me.andre.dicionarioportugues,OK
com.link.messages.sms,OK
com.kiss.keeper,OK
com.rokontrol.android,OK
com.skimble.workouts,OK
pl.tweeba.mobile.learning.english,OK
org.obduro.kentekeninfo,OK
ru.starline,OK
jp.co.yahoo.android.vassist,OK
com.spotify.music,FAIL(37)
oms.mmc.fortunetelling.gmpay.almanac2,OK
com.mictale.gpsessentials,OK
com.ktmusic.geniemusic,OK
net.familo.android,OK
com.cpsolutions.contacts,OK
com.directed.android.viper,OK
com.lucky_ponies.dokin,OK
com.toshremote.view,OK
nl.birdssoftware.mondaymorning,OK
com.dusiassistant,OK
revox.voxnet,OK
com.nstudio.weatherhere.free,OK
com.pocketlifestyle.music.tune,OK
com.dolcegustofree.activity,OK
com.palaspro.listainteligentecompra,OK
com.estela,OK
com.k560.luciddreaminducer,OK
com.aircanada,OK
fi.hhtec.coach4pro,OK
com.cisco.webex.meetings,OK
nl.dominos.android,OK
nz.co.telecom.smartphone.android,OK
com.acmeaom.android.myradar,OK
com.rageconsulting.android.lightflowlegacy,OK
tr.com.fitwell.app,OK
com.sasyabook.businesscardapp,OK
com.edjing.edjingdjturntable,OK
dev.niamor.wearliveboxremote,OK
adarshurs.android.vlcmobileremote,OK
com.bhphoto,OK
com.unated,OK
com.bandlab.bandlab,OK
com.SnowReport.screens,OK
com.ubivelox.uvophone,OK
com.lf.lfvtandroid,OK
com.biostatusfit.www,OK
com.fitnesskeeper.runkeeper.pro,OK
steptracker.healthandfitness.walkingtracker.pedometer,OK
com.czw.freefit,OK
com.topstep.fitcloudpro,OK
com.popularapp.thirtydayfitnesschallenge,OK
com.fitness22.running,OK
women.workout.female.fitness,OK
com.lafitness.lafitness,OK
loseweight.weightloss.workout.fitness,OK
com.benda.fitpro,FAIL(3221225786)
com.walkfit.weightloss.steptracker.pedometer,OK
com.blinkfitness.app,OK
com.plaifit.plaifit,OK
dance.fit.zumba.weightloss.danceburn,OK
net.workout.lose.weight.fitness.fit.coach,OK
dance.workout.home.fitness,OK
com.fitnow.loseit,OK
com.starmax.runmefit,OK
com.runmifit.android,OK
com.orangetheoryfitness.orangetheory,OK
digifit.android.virtuagym.pro.greaterjolietymcasuperclub,OK
com.fitonomy.muscle.man,OK
fitness.home.workout.weight.loss,OK
app.growwithjo.diet.fitness,OK
ee.myfitness.app,OK
digifit.android.virtuagym.pro.xsportfitness,OK
com.bickster.fitbitbandfinder,OK
com.netpulse.mobile.muvfitness,OK
com.fitifyapps.bwcardio,OK
coach.zing.fitness,OK
com.bottegasol.com.migym.fitnessconnection,OK
com.netpulse.mobile.chuzefitness,OK
net.workoutinc.seven_7minutesfitness_forwomen,OK
com.eightfit.app,OK
com.vt.vitafit,OK
com.mz.fit,OK
com.bendingspoons.thirtydayfitness,OK
com.qingniu.feelfit,OK
com.wakeup.wearfit2,ERROR(OSError)
com.trainerize.youfit,OK
com.equinoxfitness.equinox,OK
com.organicapps.fit,OK
com.nutrition.technologies.Fitia,FAIL(3221225786)
fitnesscoach.workoutplanner.weightloss,OK
nz.co.madfit,OK
org.moffitt.brandedpatientportal.play,OK
com.fliptonic.nicefitness,OK
com.goodlifefitness,OK
com.quantumbit.fitmax,OK
com.fitbod.fitbod,OK
com.wahoofitness.fitness,OK
com.noisefit,FAIL(3221225786)
faceyoga.facefitness.dailyworkouts,OK
com.viatek.fitnation.echelon_android,OK
com.myhexfit.app,OK
com.movefitness.app,OK
com.caliberfitness.app,OK
com.lesmills.fitnessplus,OK
com.watch.yfitpro,OK
com.ifit.wolf,OK
com.oplayer.goodmansfitpro,OK
softin.my.fast.fitness,OK
com.studiorouleau.funfit,OK
drzio.senior.yoga.fitness.elders.old.workout,OK
fitness.com.senior,OK
com.mapmyfitness.android2,OK
com.skyhealth.fitnessbuddyandroidfree,OK
com.basemsalloum.goodfitness.goodfitness,OK
com.concapps.benfit,OK
fat.burnning.plank.fitness.loseweight,OK
com.itrack.myfit755570,OK
musclemonster.fitness.workout.home.gym.planner,OK
workoutforwomen.femalefitness.womenworkout.loseweight,OK
com.fitapp,OK
com.fitnessmobileapps.oxygenyogaandfitness,OK
com.fitnessmobileapps.speedfit,OK
com.vfit.vfit,OK
com.arisdot.gymfit,OK
com.walking.fun.rewards.fitness.fitzu,OK
com.monkeyfitpass.monkyappv,OK
com.honbow.letsfit,FAIL(1073807364)
com.app.ufit365.forza.gym,FAIL(3221226091)
com.std.fitness.point,FAIL(3221226091)
com.xj.inxfit,FAIL(3221226091)
com.fitnessmobileapps.evolvegym,FAIL(3221226091)
com.luni.android.fitnesscoach.app,FAIL(3221226091)
com.basicfit.trainingApp,FAIL(3221226091)
com.qingniu.fitindex,FAIL(3221226091)
com.cignahealthbenefits.mobileapp,FAIL(3221226091)
com.cofox.kahunas.ProyectoPapaFit,FAIL(3221226091)
com.fitshow,FAIL(3221226091)
foodtracker.loseweight.caloriecounter.diet.myfitnesspal,FAIL(3221226091)
com.hl.deepfit,FAIL(3221226091)
com.mobifitness.strim777028,FAIL(3221226091)
ott.beatboxingfitnessworkouts,FAIL(3221226091)
in.fitnesspal.app,FAIL(3221226091)
com.Glossbird.Fitment,FAIL(3221226091)
com.crossfit.games.android,FAIL(3221226091)
com.bodyfxfitness,FAIL(3221226091)
digifit.android.virtuagym.pro.celtix,FAIL(3221226091)
com.netpulse.mobile.clubfit,FAIL(3221226091)
com.clearskyapps.fitnessfamily.RunC210K,FAIL(3221226091)
digifit.android.virtuagym.pro.fitnessparksuperclub,FAIL(3221226091)
ott.transformyoufitness,FAIL(3221226091)
ro.fitgym,FAIL(3221226091)
starshipproduct.perifitmainapp,FAIL(3221226091)
com.trainerize.stackedfitnesstraining,FAIL(3221226091)
com.shikudo.fitrpg.google,FAIL(3221226091)
com.fitnow.app,FAIL(3221226091)
kz.maestrosultan.fitjournal,FAIL(3221226091)
com.avena.avenafit,FAIL(3221226091)
com.qingniu.inevifit,FAIL(3221226091)
com.netpulse.mobile.healthfitnesscenter,FAIL(3221226091)
com.hinteen.hitfitpro,FAIL(3221226091)
com.fitpass.fitpassapp,FAIL(3221226091)
com.proyecto.befitapp,FAIL(3221226091)
digifit.android.virtuagym.pro.bodyassault,FAIL(3221226091)
com.simplyfitme.weightloss,FAIL(3221226091)
com.netpulse.mobile.totalfitnessuk,FAIL(3221226091)
br.com.w12.bluefit,FAIL(3221226091)
com.mimm.mifitness,FAIL(3221226091)
com.fitness22.workout,FAIL(3221226091)
com.anytimefitness.userapp,FAIL(3221226091)
co.macrofit.macroFit,FAIL(3221226091)
com.kilogroup.fitter,FAIL(3221226091)
com.fitradio,FAIL(3221226091)
com.fitifyapps.kettlebell,FAIL(3221226091)
blacknote.amazfitmaster,FAIL(3221226091)
digifit.android.virtuagym.pro.clubnorthwest,FAIL(3221226091)
digifit.android.virtuagym.pro.gymnasium,FAIL(3221226091)
digifit.android.virtuagym.pro.ymcaofgreatertoronto,FAIL(3221226091)
com.wix.fitness,FAIL(3221226091)
digifit.android.virtuagym.pro.buzzgymsuperclub,FAIL(3221226091)
digifit.android.virtuagym.pro.neobod,FAIL(3221226091)
com.honbow.fitdock,FAIL(3221226091)
digifit.android.virtuagym.pro.platinumgym,FAIL(3221226091)
