_id,status
app.groupcal.www,OK
apps.r.compass,OK
ch.publisheria.bring,OK
com.anghami,OK
com.audible.application,OK
com.c25k,OK
com.cardiogram.v1,OK
com.codverter.wearflashlight,OK
com.contorra.golfpad,FAIL(3221225786)
com.customsolutions.android.alexa,OK
com.dungelin.heartrate,OK
com.fish4fun.mycards,OK
com.fitbod.fitbod,OK
com.fitiv.fitivapplication,OK
com.funnmedia.waterminder,OK
com.GD.Minimal,OK
com.golfbuddy.smartcaddie,OK
com.google.android.apps.maps,FAIL(3221225786)
com.google.android.keep,OK
com.grint.thegrint.pro,OK
com.imperon.android.gymapp,OK
com.ingravity.woo,FAIL(3221225786)
com.jee.calc,OK
com.juventus.app.android,OK
com.lemonsystems.cipadidas,OK
com.mysticmobileapps.gps.area.calculator,OK
com.northcube.sleepcycle,OK
com.northpark.drinkwater,OK
com.padelem.padelem,OK
com.recreative.recreative01,OK
com.rideonewheel.onewheel,OK
com.shotzoom.golfshot2,OK
com.soundcloud.android,OK
com.spotify.music,FAIL(37)
com.todoist,OK
com.vpar.android,OK
com.wikiloc.wikilocandroid,OK
com.windyty.android,OK
grit.storytel.app,OK
me.twentyfour.www,OK
nl.slisky.stopwatch,OK
todolist.scheduleplanner.dailyplanner.todo.reminders,OK
