id,third_party,manifest,source_code,stop_share,link,RAG
1,google firebase ,yes,yes,yes,https://firebase.google.com/docs/cloud-messaging/android/client?hl=en#prevent-auto-init,done
2,facebook ,yes,yes ,yes,https://developers.facebook.com/docs/app-events/gdpr-compliance/,done
3,cleverTap ,yes,yes ,yes,https://developer.clevertap.com/docs/sdk-changes-for-gdpr-compliance,done
4,zendesk ,no,no,no,https://developer.zendesk.com/documentation/,
5,yandex ,no,no,no,https://appmetrica.yandex.com/docs/en/data-security/gdpr,
6,appLovin ,no,yes,yes,https://developers.applovin.com/en/max/android/overview/privacy/,done
7,huawei ,no,no,no,https://developer.huawei.com/consumer/en/doc/AppGallery-connect-Guides/agc-apm-android-sdksecurity-0000001053087275,
8,kochava,no,yes,yes,https://support.kochava.com/sdk-integration/android-sdk-integration/android-using-the-sdk/,done
9,flurry,no,no,no,https://www.flurry.com/ccpa-compliance-guide/,
10,braze ,yes,yes,yes,"https://www.braze.com/docs/developer_guide/sdk_integration
https://www.braze.com/docs/user_guide/data/user_data_collection/sdk_data_collection/#data-not-collected-by-default",done
11,sentry ,no,yes,yes,"https://docs.sentry.io/platforms/android/configuration/options/
https://docs.sentry.io/platforms/android/data-management/sensitive-data/",done
12,appsflyer,no,yes,yes,https://dev.appsflyer.com/hc/docs/preserve-user-privacy-android,done
13,vungle ,no,yes,yes,https://support.vungle.com/hc/en-us/articles/360047780372-Advanced-Settings#ccpa-implementation-0-9,done
14,baidu ,no,yes,yes,https://lbsyun.baidu.com/faq/api?title=android-privacy,done
15,urban airship ,no,yes,yes,"https://docs.airship.com/platform/mobile/data-collection/data-collection/?groupid=android-kotlin
https://docs.airship.com/reference/libraries/android/latest/reference/com/urbanairship/PrivacyManager.html",done
16,branch ,no,yes,yes,https://help.branch.io/developers-hub/docs/consumer-protection-preferences,done
17,ironsource ,no,yes,yes,https://developers.is.com/ironsource-mobile/android/regulation-advanced-settings/#step-1,done
18,picasso,no,no,no,https://square.github.io/picasso/#introduction,
19,ogury ,no,yes,yes,https://support.ogury.com/android/privacy/privacy-compliance,done
20,amap,no,no,no,https://s3-smartwear.tozostore.com/web_page/AMAP_privacy_policy_en.html,
21,sensorsdata,no,no,no,https://www.sensorsdata.cn/2.0/manual/android_sdk.html,
22,intercom ,no,no,no,https://developers.intercom.com/installing-intercom/android/about-the-sdk,
23,pangle bytedance ,no,no,no,https://www.pangleglobal.com/integration/app-privacy-details-gp,
24,tencent ,no,no,no,https://developers.adnet.qq.com/doc/android/union/union_embed,
25,iguang jpush ,no,no,no,https://docs.jiguang.cn/en/jpush/client/Android/android_sdk/,
26,salesforce,no,no,no,https://developer.salesforce.com/docs/atlas.en-us.service_sdk_android.meta/service_sdk_android/servicesdk_android_dev_guide.htm,
27,moengage,no,yes,yes,https://developers.moengage.com/hc/en-us/articles/4403894239892-Compliance,done
28,expo,no,no,no,https://docs.expo.dev/guides/permissions/,
